                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8684,                 0.4593,                0.96512,                 1.9892,             0.00023233,             0.00023233,             0.00023233
                      2,                 1.0843,                0.78488,                      1,                 1.6069,             0.00045481,             0.00045481,             0.00045481
                      3,                0.40015,                0.87791,                      1,                 1.3909,             0.00066158,             0.00066158,             0.00066158
                      4,                0.14267,                0.88953,                      1,                 1.3766,             0.00064331,             0.00064331,             0.00064331
                      5,                0.11334,                0.93023,                      1,                 1.3383,             0.00064331,             0.00064331,             0.00064331
                      6,                0.06062,                0.90698,                      1,                 1.3698,             0.00061975,             0.00061975,             0.00061975
                      7,                0.05361,                0.97093,                      1,                 1.3189,             0.00059619,             0.00059619,             0.00059619
                      8,                0.06871,                0.94767,                      1,                 1.3284,             0.00057263,             0.00057263,             0.00057263
                      9,                0.04621,                 0.9186,                      1,                 1.3479,             0.00054907,             0.00054907,             0.00054907
                     10,                0.05681,                0.94186,                      1,                 1.3628,              0.0005255,              0.0005255,              0.0005255
                     11,                0.03994,                0.98837,                      1,                 1.3127,             0.00050194,             0.00050194,             0.00050194
                     12,                0.03372,                0.97674,                      1,                 1.3072,             0.00047838,             0.00047838,             0.00047838
                     13,                0.03079,                0.98256,                      1,                 1.3045,             0.00045482,             0.00045482,             0.00045482
                     14,                0.01854,                      1,                      1,                  1.301,             0.00043126,             0.00043126,             0.00043126
                     15,                0.01247,                0.99419,                      1,                 1.2966,             0.00040769,             0.00040769,             0.00040769
                     16,                0.02086,                 0.9593,                      1,                 1.3199,             0.00038413,             0.00038413,             0.00038413
                     17,                0.01865,                0.94186,                      1,                 1.3332,             0.00036057,             0.00036057,             0.00036057
                     18,                0.02375,                0.94767,                      1,                 1.3314,             0.00033701,             0.00033701,             0.00033701
                     19,                0.00957,                0.95349,                      1,                 1.3273,             0.00031345,             0.00031345,             0.00031345
                     20,                 0.0175,                0.94767,                      1,                 1.3299,             0.00028988,             0.00028988,             0.00028988
                     21,                0.00749,                0.96512,                      1,                 1.3213,             0.00026632,             0.00026632,             0.00026632
                     22,                0.00939,                0.98256,                      1,                  1.307,             0.00024276,             0.00024276,             0.00024276
                     23,                0.00961,                0.96512,                      1,                 1.3168,              0.0002192,              0.0002192,              0.0002192
                     24,                0.01021,                0.96512,                      1,                 1.3239,             0.00019564,             0.00019564,             0.00019564
                     25,                0.01449,                0.96512,                      1,                 1.3258,             0.00017207,             0.00017207,             0.00017207
                     26,                0.01508,                0.96512,                      1,                 1.3104,             0.00014851,             0.00014851,             0.00014851
                     27,                0.00906,                0.96512,                      1,                 1.3096,             0.00012495,             0.00012495,             0.00012495
                     28,                0.01082,                 0.9593,                      1,                 1.3175,             0.00010139,             0.00010139,             0.00010139
                     29,                0.00493,                 0.9593,                      1,                 1.3185,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.00697,                 0.9593,                      1,                 1.3179,             5.4264e-05,             5.4264e-05,             5.4264e-05
